Name,Elevation (m),Country,Range,Fun Fact,Image
Everest,8849,Nepál,,"A Föld legmagasabb hegye, nepáli neve Szagarmatha, tibeti neve Csomolungma, melynek jelentése nagyjából 'a világ anyaistennője'.",images/mountains/everest.jpg
K2,8611,Pakisztán,,"Nevét egy 1856-os brit felmérés adta neki, mivel helyi elnevezése nem volt ismert, és a világ második legmagasabb, ám a ""Vad hegy"" becenevet viselő, technikailag rendkívül veszélyes csúcsaként tartják számon.",images/mountains/k2.jpg
Kangchenjunga,8586,India,,"Neve ""az öt hó kincse"" jelentésű, a szikkimi hívők szentnek tartják, ezért a hagyomány szerint a hegymászók néhány méterrel a valódi csúcs alatt állnak meg tiszteletből.",images/mountains/kangchenjunga.jpg
Lhotse,8516,Nepál,,"A világ negyedik legmagasabb csúcsa, neve tibeti nyelven ""Déli csúcsot"" jelent, és a Mount Everesttel közös Dél-nyereg köti össze, híres, jeges Lhotse-fala az Everest normál útvonalának egyik legveszélyesebb szakasza.",images/mountains/lhotse.jpg
Makalu,8485,Nepál,,"A Föld ötödik legmagasabb hegye, szinte tökéletes piramis alakja miatt az egyik legnehezebben mászható nyolcezres, amelyet elsőként egy francia expedíció mászott meg 1955-ben.",images/mountains/makalu.jpg
Cho Oyu,8188,Kína,Himalája,"Neve tibeti nyelven ""türkiz istennőt"" jelent, és 1978-ig, amíg Reinhold Messner és Peter Habeler oxigénpalack nélkül nem mászta meg az Everestet, ez volt a legmagasabb csúcs, amit pótlevegő nélkül sikerült megmászni.",images/mountains/cho-oyu.jpg
Dhaulagiri I,8167,Nepál,,"A világ hetedik legmagasabb hegye, a 19. század elején egy ideig a Föld ismert legmagasabb pontjának hitték, mire a Kancsendzönga, majd az Everest magasabbnak bizonyult.",images/mountains/dhaulagiri-i.jpg
Manaslu,8163,Nepál,,"Neve a szanszkrit ""manasa"" szóból ered, jelentése ""a lélek hegye"", és a világ nyolcadik legmagasabb csúcsaként a nepáli hegymászás egyik legveszélyesebb nyolcezrese.",images/mountains/manaslu.jpg
Nanga Parbat,8126,Pakisztán,,"A világ kilencedik legmagasabb csúcsát a korai expedíciók magas halálozási aránya miatt 'gyilkos hegynek' nevezik, déli Rupal-fala pedig mintegy 4600 méteres magasságával a Föld egyik legnagyobb hegyfala.",images/mountains/nanga-parbat.jpg
Annapurna I,8091,Nepál,Himalája,"1950-ben Maurice Herzog és Louis Lachenal mászta meg elsőként, így ez lett a világ első, ember által meghódított 8000 méter feletti csúcsa.",images/mountains/annapurna-i.jpg
Gasherbrum I,8080,Pakisztán,,"Más néven Hidden Peak, azaz 'Rejtett Csúcs', mivel a Karakórumban elfoglalt helyzete miatt sokáig nehezen volt látható a környező hegyektől.",images/mountains/gasherbrum-i.jpg
Broad Peak,8051,Pakisztán,Karakorum,"Nevét brit felfedezője, Martin Conway adta 1892-ben az Alpokban álló Breithorn (""széles szarv"") mintájára, mivel a csúcs gerince csaknem két kilométer hosszan húzódik.",images/mountains/broad-peak.jpg
Gasherbrum II,8035,Pakisztán,,"A Gasherbrum-hegytömb legkönnyebben megmászható nyolcezrese, ezért gyakran ez az első nyolcezer méteres csúcs sok hegymászó pályafutásában.",images/mountains/gasherbrum-ii.jpg
Shishapangma,8027,Kína,,"Ez az egyetlen nyolcezres, amely teljes egészében kínai (tibeti) területen fekszik, és 1964-ben ez volt az utolsó a tizennégy nyolcezres közül, amelyet meghódítottak.",images/mountains/shishapangma.jpg
Gyachung Kang,7952,Nepál,,"Ez a legmagasabb olyan csúcs a Földön, amely nem éri el a 8000 métert, és a Cho Oyu valamint a Mount Everest közötti gerincvonulaton helyezkedik el.",images/mountains/gyachung-kang.jpg
Annapurna II,7937,Nepál,Himalája,"Első megmászása 1960-ban egy brit-indiai-nepáli közös expedíció sikere volt, jóval az Annapurna I meghódítása után.",images/mountains/annapurna-ii.jpg
Gasherbrum IV,7932,Pakisztán,,"A Gasherbrum-tömb tagja, és bár 7932 méterével nem éri el a 8000 métert, meredek, jeges gerincei miatt az egyik legnehezebben mászható himalájai csúcsnak számít; első megmászása 1958-ban Walter Bonatti és Carlo Mauri olasz hegymászók nevéhez fűződik.",images/mountains/gasherbrum-iv.jpg
Himalchuli,7893,Nepál,,"A Manaszlu-hegytömb részeként emelkedik, és a szomszédos Manaszlu árnyékában kevésbé ismert, pedig 7893 méterével maga is a világ legmagasabb csúcsai közé tartozik.",images/mountains/himalchuli.jpg
Distaghil Sar,7884,Pakisztán,,"A Karakórum Hispar Muztagh nevű alhegységének legmagasabb csúcsa, első megmászása csak 1960-ban, egy német-osztrák expedíciónak sikerült.",images/mountains/distaghil-sar.jpg
Ngadi Chuli,7871,Nepál,,"A Manaslu-masszívum része, korábban egyszerűen csak '29-es csúcsként' tartották számon, hivatalosan elismert első sikeres megmászása pedig 1979-ben, lengyel hegymászók nevéhez fűződik.",images/mountains/ngadi-chuli.jpg
Khunyang Chhish,7823,Pakisztán,,"A Karakórum Hispar Muztagh vonulatának egyik legnehezebben megközelíthető hétezrese, amelynek főcsúcsát csak 1971-ben sikerült elsőként megmászni.",images/mountains/khunyang-chhish.jpg
Masherbrum,7821,Pakisztán,,"A Karakorum csúcsát a 19. századi térképészek eredetileg K1 néven jelölték, mielőtt a ma K2 néven híres szomszédja megkapta volna a nevét, és csak 1960-ban másztak meg elsőként.",images/mountains/masherbrum.jpg
Nanda Devi,7817,India,,"India területén fekvő legmagasabb hegyet a hindu hagyomány istennőként tiszteli; a körülötte fekvő szentélyt 1983 óta természetvédelmi okokból lezárták a hegymászók elől, miután 1965-ben egy titkos akció során egy nukleáris meghajtású megfigyelőeszközt veszítettek el a hegy oldalában.",images/mountains/nanda-devi.jpg
Chomo Lonzo,7804,Kína,,"A Himalája keleti szakaszán, a Makalu-tömb közvetlen szomszédságában emelkedik, első megmászására 1954-ben egy francia expedíció vállalkozott.",images/mountains/chomo-lonzo.jpg
Batura Sar,7795,Pakisztán,Karakorum (Batura Muztagh),"A hegyet csak 1976-ban mászta meg elsőként egy nyugatnémet expedíció, miután egy 1959-es brit-német expedíció mind az öt tagja életét vesztette a csúcs jeges lejtőin.",images/mountains/batura-sar.jpg
Rakaposhi,7788,Pakisztán,,"A Karakorumban emelkedő csúcs a Hunza-völgy felől nézve megszakítás nélkül csaknem 5900 métert emelkedik, ami a Föld egyik legnagyobb folyamatos hegyoldal-magasságkülönbsége.",images/mountains/rakaposhi.jpg
Namcha Barwa,7782,Kína,,"A Himalája legkeletibb 7000 méter feletti csúcsa, ahol a Jarlung-Cangpo folyó éles kanyarulatot ír le; ez volt az utolsó a világ nyolcezres és jelentős hétezres csúcsai közül, amelyet 1992-ben sikerült elsőként megmászni.",images/mountains/namcha-barwa.jpg
Kanjut Sar,7760,Pakisztán,,"A Karakórum egyik legelszigeteltebb hétezrese, amelyet csak 1959-ben, egy osztrák–német expedíció mászott meg elsőként.",images/mountains/kanjut-sar.jpg
Kamet,7756,India,,"1931-ben Frank Smythe brit expedíciója mászta meg elsőként, ezzel ez lett az első 7500 méter fölötti csúcs, amelyet ember biztonságosan megjárt és vissza is tért róla.",images/mountains/kamet.jpg
Dhaulagiri II,7751,Nepál,,"A Dhaulagiri-hegytömb második legmagasabb csúcsa, első megmászására csak 1971-ben, jóval a főcsúcs 1960-as meghódítása után került sor.",images/mountains/dhaulagiri-ii.jpg
Saltoro Kangri,7742,Pakisztán,,"A Karakorumban, a vitatott Siachen-gleccser vidékén emelkedő csúcsot térképészeti jelölés alapján egyszerűen csak 36-os csúcsnak is nevezik.",images/mountains/saltoro-kangri.jpg
Kumbhakarna (Jannu),7711,Nepál,,"Nevét a Rámájana eposz óriás démonáról, Kumbhakarnáról kapta, félelmetes, meredek északi falát 1962-ben mászta meg elsőként egy francia expedíció.",images/mountains/kumbhakarna-jannu.jpg
Tirich Mir,7708,Pakisztán,,"A Hindukus hegység legmagasabb csúcsa, első megmászása 1950-ben Arne Naess norvég expedíciójának sikerült, még azelőtt, hogy bármelyik 8000 méteres csúcsot meghódították volna.",images/mountains/tirich-mir.jpg
Gurla Mandhata,7694,Kína,,A szent Manaszarovar-tó közelében emelkedő csúcs a hindu és buddhista hagyományban a közeli Kailash-hegyhez hasonlóan szent hegynek számít.,images/mountains/gurla-mandhata.jpg
Saser Kangri I,7672,India,,A Karakorum Saser Muztagh nevű hegyláncának legmagasabb csúcsát 1973-ban egy indiai-tibeti expedíció mászta meg elsőként.,images/mountains/saser-kangri-i.jpg
Chogolisa,7665,Pakisztán,,"Menyasszony-csúcs (Bride Peak) néven is ismert; 1957-ben itt veszítette életét Hermann Buhl világhírű osztrák hegymászó, amikor egy hóval borított szikla leszakadt alatta.",images/mountains/chogolisa.jpg
Kongur Tagh,7649,Kína,,"A Pamír legmagasabb csúcsa, amelyet elsőként 1981-ben Chris Bonington vezette brit expedíció, Peter Boardman, Al Rouse és Michael Ward részvételével mászott meg.",images/mountains/kongur-tagh.jpg
Shispare,7611,Pakisztán,,"A Karakorum Hispar Muztagh vonulatában emelkedő csúcsot 1974-ben egy lengyel expedíció mászta meg elsőként, jellegzetes, meredek piramis alakja miatt hegymászók körében rendkívül tiszteletnek örvend.",images/mountains/shispare.jpg
